run_name,tokens,metric,value
SmolLM3 (fixed),70778880000.0,hellaswag,0.5931089424417447
SmolLM3 (fixed),75497472000.0,hellaswag,0.6021708822943637
SmolLM3 (fixed),80216064000.0,hellaswag,0.6031666998605856
SmolLM3 (fixed),84934656000.0,hellaswag,0.6116311491734714
SmolLM3 (fixed),89653248000.0,hellaswag,0.6134236207926708
SmolLM3 (fixed),94371840000.0,hellaswag,0.6171081457876917
SmolLM3 (fixed),99090432000.0,hellaswag,0.6195976897032464
SmolLM3 (fixed),103809024000.0,hellaswag,0.6214897430790679
SmolLM3 (fixed),108527616000.0,hellaswag,0.6242780322644892
SmolLM3 (fixed),113246208000.0,hellaswag,0.6286596295558654
SmolLM3 (fixed),117964800000.0,hellaswag,0.6291575383389763
SmolLM3 (fixed),122683392000.0,hellaswag,0.6365265883290181
SmolLM3 (fixed),127401984000.0,hellaswag,0.6351324437363075
SmolLM3 (fixed),132120576000.0,hellaswag,0.6338378809002191
SmolLM3 (fixed),136839168000.0,hellaswag,0.6318462457677754
SmolLM3 (fixed),141557760000.0,hellaswag,0.6373232423819957
SmolLM3 (fixed),146276352000.0,hellaswag,0.6354311890061741
SmolLM3 (fixed),150994944000.0,hellaswag,0.6408086038637721
SmolLM3 (fixed),155713536000.0,hellaswag,0.6398127862975503
SmolLM3 (fixed),160432128000.0,hellaswag,0.6442939653455487
SmolLM3 (fixed),165150720000.0,hellaswag,0.6417048396733719
SmolLM3 (fixed),169869312000.0,hellaswag,0.6517625970922127
SmolLM3 (fixed),174587904000.0,hellaswag,0.6460864369647481
SmolLM3 (fixed),179306496000.0,hellaswag,0.6466839275044812
SmolLM3 (fixed),184025088000.0,hellaswag,0.6443935471021709
SmolLM3 (fixed),188743680000.0,hellaswag,0.6484763991236805
SmolLM3 (fixed),193462272000.0,hellaswag,0.6530571599283012
SmolLM3 (fixed),198180864000.0,hellaswag,0.650368452499502
SmolLM3 (fixed),4718592000.0,mmlu,0.2731913111405564
SmolLM3 (fixed),9437184000.0,mmlu,0.28954332081963013
SmolLM3 (fixed),14155776000.0,mmlu,0.3032810706366909
SmolLM3 (fixed),18874368000.0,mmlu,0.30768084403160506
SmolLM3 (fixed),23592960000.0,mmlu,0.3154305849263326
SmolLM3 (fixed),28311552000.0,mmlu,0.3247124657637743
SmolLM3 (fixed),33030144000.0,mmlu,0.3252268557320648
SmolLM3 (fixed),37748736000.0,mmlu,0.332253588670205
SmolLM3 (fixed),42467328000.0,mmlu,0.3355435598028115
SmolLM3 (fixed),47185920000.0,mmlu,0.3393518840320181
SmolLM3 (fixed),51904512000.0,mmlu,0.3415328135081095
SmolLM3 (fixed),56623104000.0,mmlu,0.34062906084737843
SmolLM3 (fixed),61341696000.0,mmlu,0.3463145570123638
SmolLM3 (fixed),66060288000.0,mmlu,0.3414849625106165
SmolLM3 (fixed),70778880000.0,mmlu,0.3390168087369274
SmolLM3 (fixed),75497472000.0,mmlu,0.3479263136181763
SmolLM3 (fixed),80216064000.0,mmlu,0.35029570047355846
SmolLM3 (fixed),84934656000.0,mmlu,0.34188143225170026
SmolLM3 (fixed),89653248000.0,mmlu,0.3554152670279486
SmolLM3 (fixed),94371840000.0,mmlu,0.35716829917760196
SmolLM3 (fixed),99090432000.0,mmlu,0.35582688203268786
SmolLM3 (fixed),103809024000.0,mmlu,0.35951180933009097
SmolLM3 (fixed),108527616000.0,mmlu,0.35374021162349834
SmolLM3 (fixed),113246208000.0,mmlu,0.35937377506054413
SmolLM3 (fixed),117964800000.0,mmlu,0.36090654642923226
SmolLM3 (fixed),122683392000.0,mmlu,0.36495318662739806
SmolLM3 (fixed),127401984000.0,mmlu,0.3608618957896028
SmolLM3 (fixed),132120576000.0,mmlu,0.34469018630557574
SmolLM3 (fixed),136839168000.0,mmlu,0.3520831045831607
SmolLM3 (fixed),141557760000.0,mmlu,0.3547359485739871
SmolLM3 (fixed),146276352000.0,mmlu,0.36194333869764045
SmolLM3 (fixed),150994944000.0,mmlu,0.3550745549422762
SmolLM3 (fixed),155713536000.0,mmlu,0.367747358853655
SmolLM3 (fixed),160432128000.0,mmlu,0.3622513964530862
SmolLM3 (fixed),165150720000.0,mmlu,0.35048895043215667
SmolLM3 (fixed),169869312000.0,mmlu,0.3655854561780828
SmolLM3 (fixed),174587904000.0,mmlu,0.3583329624146898
SmolLM3 (fixed),179306496000.0,mmlu,0.35296898935988663
SmolLM3 (fixed),184025088000.0,mmlu,0.36010948065289167
SmolLM3 (fixed),188743680000.0,mmlu,0.36429297661181087
SmolLM3 (fixed),193462272000.0,mmlu,0.37132767326688343
SmolLM3 (fixed),198180864000.0,mmlu,0.3636266501006487
SmolLM3 (fixed),4718592000.0,arc,0.33694309419565394
SmolLM3 (fixed),9437184000.0,arc,0.40466812608450836
SmolLM3 (fixed),14155776000.0,arc,0.4109697659185714
SmolLM3 (fixed),18874368000.0,arc,0.4312464807345353
SmolLM3 (fixed),23592960000.0,arc,0.4452330471955045
SmolLM3 (fixed),28311552000.0,arc,0.45728545408579535
SmolLM3 (fixed),33030144000.0,arc,0.467227738132175
SmolLM3 (fixed),37748736000.0,arc,0.4780749761551809
SmolLM3 (fixed),42467328000.0,arc,0.48904072005607846
SmolLM3 (fixed),47185920000.0,arc,0.5075039358315808
SmolLM3 (fixed),51904512000.0,arc,0.4935978097240896
SmolLM3 (fixed),56623104000.0,arc,0.5075211730501833
SmolLM3 (fixed),61341696000.0,arc,0.5076511704071431
SmolLM3 (fixed),66060288000.0,arc,0.4943189000356236
SmolLM3 (fixed),70778880000.0,arc,0.4935173693706117
SmolLM3 (fixed),75497472000.0,arc,0.5172300364279887
SmolLM3 (fixed),80216064000.0,arc,0.5134076832029051
SmolLM3 (fixed),84934656000.0,arc,0.5093634007883154
SmolLM3 (fixed),89653248000.0,arc,0.5247885567851438
SmolLM3 (fixed),94371840000.0,arc,0.5231625124969835
