Step,throughput_drops,throughput_no_drops
645,13704.87847184921,13801.04270483217
646,13933.464780020438,13842.438745802116
647,13935.672497846364,13883.62757976412
648,13865.012703504372,13790.88733610152
649,13900.027873624753,13927.011407049597
650,13771.806207781105,13943.220186603585
651,13634.016084769624,13779.08897766081
652,13896.407493008604,13949.273287669008
653,13883.874420288606,13928.381401658771
654,13829.884034170862,13843.650849400668
655,13791.381833127823,13841.405279110277
656,13976.168079750998,13846.581596318298
657,13917.797296567456,13920.699365703931
658,13934.444227192109,13846.745278664514
659,13641.356002401151,13749.805930442632
660,13880.05311624916,13959.534795637788
661,13678.820637819015,13937.669841833014
662,13657.688020415138,13868.4226882019
663,13946.72913752056,13762.392002050756
664,13835.222573757545,13920.7068855895
665,13830.626282576284,13742.444145098278
666,13640.251262010735,13695.73748201657
667,13809.362774240117,13502.195250460556
668,13843.003871988038,13957.31195181793
669,13925.288005464245,13497.28731056777
670,13824.935274454148,13909.42116828153
671,13931.01676437914,13800.318409025916
672,13673.137770778738,13849.148878677952
673,13896.594837027886,13905.360687405975
674,13796.882735240782,13769.561810414612
675,13897.913881894336,13684.907920101195
676,13715.776177266447,13698.096219094665
677,13682.560987148276,13911.388464310296
678,13681.580309417372,13899.892918767802
679,13731.321118740863,13898.56600224148
680,13920.007570986098,13482.888204188048
681,13854.889639076571,13933.29904104434
682,13759.246997716918,13915.948422577165
683,13826.448462151351,13773.403486830184
684,13921.56420580302,13922.51189311406
685,13834.234744647178,13716.710655575404
686,13515.699874702164,13810.458072319763
687,13695.897617469658,13571.61187738374
688,13234.633700862132,13852.096846084132
689,13868.855585203428,13918.022802615336
690,13908.738000990945,13845.792999251558
691,13869.572163766612,13843.992953853543
692,13785.796817099012,13704.579649102654
693,13809.614381400124,13810.546887887196
694,13910.209521629811,13943.469150718847
695,13613.93490936389,13990.827862644532
696,13871.931424658744,13865.452847954495
697,13914.903950793674,13637.789706539204
698,13882.38603023765,13553.460195808757
699,13392.490677154849,14001.5842372583
700,13741.037211460016,13879.171000552047
701,13813.485847099577,13865.952706894555
702,13800.813582631728,13725.996647571568
703,13800.614030784653,13587.103792660377
704,13834.034225135189,13821.420616868054
705,13452.636792223826,13884.33820501133
706,13800.200163868583,13750.01135224948
707,13902.082510054404,13927.794228109497
708,13795.10276867733,13753.247555537766
709,13737.257504373883,13804.036774619664
710,13238.250655367749,13808.696799540883
711,13670.432266921864,13839.88138320383
712,13873.09641902346,13886.478000245725
713,13842.431310238804,13798.079485467466
714,13358.590839886972,13852.506385263876
715,13732.352846887095,13767.215174076196
716,13870.52771704554,13825.291288819884
717,13807.061734163011,13858.987773128203
718,13845.949223610827,13773.17528142494
719,13835.33399190812,13950.859132604006
720,13785.981190578595,13847.65304191244
721,13812.256810239478,13863.170368202584
722,215.89288856479297,13931.16738665636
723,708.511166572931,13822.16195706569
724,13672.833076092522,13511.851812080537
725,13134.617230791817,13888.019660023863
726,758.4561745704514,13377.564131035717
727,743.7869583973148,13916.20392875195
728,871.7329647468099,13824.35679021419
729,13876.607521103158,13764.781108401816
730,13812.523329781465,13765.560504025269
731,236.7613108087975,13336.675088277869
732,655.936656959392,13915.730498253906
733,13922.714985753017,13819.997466582648
734,13910.066860592216,13900.305289060589
735,798.1133218051485,13882.415944482842
736,787.0519042540556,13921.466435882974
737,13957.183441682411,13974.591632425856
738,13904.182766127922,13874.612698301598
739,13802.070152755856,13837.904535452048
740,13942.148987901564,13783.252966604372
741,13949.197780236484,13956.881074227667
742,13925.092362377216,13770.246090118051
743,13943.73321328393,13708.983136811588
744,13784.911893040678,13857.392938322031
745,13897.726502308757,13877.489310966908
746,13735.273258333304,13876.824221785326
747,13857.63139495303,13948.11056383921
748,13975.39496979567,13776.429763730026
749,13869.034722902434,13860.687346876426
750,13922.617199668706,13784.167170003884
751,13903.477609403722,13698.67874838732
752,13928.336232704976,13820.79054022165
753,13802.17364519949,13828.5556084423
754,13900.70268721994,13146.416987932447
755,13933.984623295615,13961.637319735308
756,13959.444053459069,13999.56092870437
757,13877.646251418337,13870.714363914984
758,13717.616052873642,13971.1065211463
759,13819.093325439711,13828.57787045792
760,13896.557367819922,13694.24549074874
761,13931.717185609514,13770.694955676408
762,13931.664463280838,13941.258962074293
763,13832.333756304308,13816.840898160475
764,13919.69929331466,13846.492316669595
765,13762.781553566574,13782.803282011568
766,13350.47293050552,13870.803956196562
767,13496.03614472344,13793.758865916365
768,13638.222760393071,13893.185966319686
769,13809.01497943904,14001.858113424065
770,13935.077173985926,13872.864898154525
771,13750.994527307965,13590.593453049602
