"Step","30/03/2025_21:53:38_3B-nn48-mbs3-gbs2M-tp2-4heads-bucket128 - tokens_per_sec_per_gpu","30/03/2025_21:53:38_3B-nn48-mbs3-gbs2M-tp2-4heads-bucket128 - tokens_per_sec_per_gpu__MIN","30/03/2025_21:53:38_3B-nn48-mbs3-gbs2M-tp2-4heads-bucket128 - tokens_per_sec_per_gpu__MAX"
"356","13836.39626838625","13836.39626838625","13836.39626838625"
"357","9114.665908343324","9114.665908343324","9114.665908343324"
"358","13831.747228664623","13831.747228664623","13831.747228664623"
"359","13442.286288972233","13442.286288972233","13442.286288972233"
"360","13891.336136777607","13891.336136777607","13891.336136777607"
"361","13829.08249537149","13829.08249537149","13829.08249537149"
"362","9500.50056848597","9500.50056848597","9500.50056848597"
"363","13980.664423522416","13980.664423522416","13980.664423522416"
"364","13968.36511210281","13968.36511210281","13968.36511210281"
"365","13989.582256058535","13989.582256058535","13989.582256058535"
"366","13702.174964866972","13702.174964866972","13702.174964866972"
"367","13849.788987157272","13849.788987157272","13849.788987157272"
"368","13962.756907472327","13962.756907472327","13962.756907472327"
"369","13903.702651651058","13903.702651651058","13903.702651651058"
"370","13783.29719946086","13783.29719946086","13783.29719946086"
"371","13285.389968603553","13285.389968603553","13285.389968603553"
"372","13975.652663610475","13975.652663610475","13975.652663610475"
"373","13978.487922917571","13978.487922917571","13978.487922917571"
"374","13979.140043624795","13979.140043624795","13979.140043624795"
"375","13788.533426078024","13788.533426078024","13788.533426078024"
"376","13759.202919087582","13759.202919087582","13759.202919087582"
"377","13994.733213387908","13994.733213387908","13994.733213387908"
"378","13853.57874800756","13853.57874800756","13853.57874800756"
"379","13891.208838692568","13891.208838692568","13891.208838692568"
"380","13924.716141122155","13924.716141122155","13924.716141122155"
"381","13875.51664805456","13875.51664805456","13875.51664805456"
"382","13972.091267674667","13972.091267674667","13972.091267674667"
"383","13824.097229687757","13824.097229687757","13824.097229687757"
"384","13804.85020311016","13804.85020311016","13804.85020311016"
"385","13816.21864640773","13816.21864640773","13816.21864640773"
"386","13789.278620997427","13789.278620997427","13789.278620997427"
"387","13907.642070586813","13907.642070586813","13907.642070586813"
"388","13375.529692656326","13375.529692656326","13375.529692656326"
"389","13994.801614437836","13994.801614437836","13994.801614437836"
"390","13891.60571689479","13891.60571689479","13891.60571689479"
"391","13921.752228739859","13921.752228739859","13921.752228739859"
"392","13941.311757046044","13941.311757046044","13941.311757046044"
"393","13878.550596507555","13878.550596507555","13878.550596507555"
"394","13745.258876880587","13745.258876880587","13745.258876880587"
"395","13888.633425673419","13888.633425673419","13888.633425673419"
"396","13920.443694428539","13920.443694428539","13920.443694428539"
"397","13926.82324202917","13926.82324202917","13926.82324202917"
"398","13917.699579549413","13917.699579549413","13917.699579549413"
"399","13893.208436913194","13893.208436913194","13893.208436913194"
"400","13824.571862034334","13824.571862034334","13824.571862034334"
"401","13705.417843451769","13705.417843451769","13705.417843451769"
"402","13962.136573166053","13962.136573166053","13962.136573166053"
"403","13848.46417696935","13848.46417696935","13848.46417696935"
"404","13886.86712478768","13886.86712478768","13886.86712478768"
"405","14022.978801578509","14022.978801578509","14022.978801578509"
"406","13902.397508015383","13902.397508015383","13902.397508015383"
"407","13729.382474632148","13729.382474632148","13729.382474632148"
"408","13844.632585796278","13844.632585796278","13844.632585796278"
"409","14008.731347234898","14008.731347234898","14008.731347234898"
"410","13950.330477562913","13950.330477562913","13950.330477562913"
"411","13877.937721674412","13877.937721674412","13877.937721674412"
"412","13820.916550955162","13820.916550955162","13820.916550955162"
"413","13837.71877052248","13837.71877052248","13837.71877052248"
"414","13935.845829543352","13935.845829543352","13935.845829543352"
"415","13926.958720331351","13926.958720331351","13926.958720331351"
"416","13918.631705447753","13918.631705447753","13918.631705447753"
"417","13840.260467414451","13840.260467414451","13840.260467414451"
"418","13654.257875101534","13654.257875101534","13654.257875101534"
"419","13933.502448519452","13933.502448519452","13933.502448519452"
"420","13835.460267981538","13835.460267981538","13835.460267981538"
"421","13888.730734965751","13888.730734965751","13888.730734965751"
"422","13896.145219867596","13896.145219867596","13896.145219867596"
"423","13992.240831265974","13992.240831265974","13992.240831265974"
"424","13545.68762155468","13545.68762155468","13545.68762155468"
"425","13846.462557042541","13846.462557042541","13846.462557042541"
"426","13986.879141480233","13986.879141480233","13986.879141480233"
"427","13916.534597729704","13916.534597729704","13916.534597729704"
"428","13768.18609899492","13768.18609899492","13768.18609899492"
"429","13889.082556861054","13889.082556861054","13889.082556861054"
"430","13020.332880456064","13020.332880456064","13020.332880456064"
"431","13759.5335156917","13759.5335156917","13759.5335156917"
"432","13991.46594216708","13991.46594216708","13991.46594216708"
"433","13631.989437111457","13631.989437111457","13631.989437111457"
"434","13839.383402172753","13839.383402172753","13839.383402172753"
"435","13583.472723209203","13583.472723209203","13583.472723209203"
"436","13880.187686127625","13880.187686127625","13880.187686127625"
"437","13959.29281911609","13959.29281911609","13959.29281911609"
"438","13561.976798686","13561.976798686","13561.976798686"
"439","13929.30742977727","13929.30742977727","13929.30742977727"
"440","13698.707876152532","13698.707876152532","13698.707876152532"
"441","13980.285193479505","13980.285193479505","13980.285193479505"
"442","13850.9279310899","13850.9279310899","13850.9279310899"
"443","13803.607914557319","13803.607914557319","13803.607914557319"
"444","13885.961695576667","13885.961695576667","13885.961695576667"
"445","13836.500276248878","13836.500276248878","13836.500276248878"
"446","13923.091098879013","13923.091098879013","13923.091098879013"
"447","13928.396458041805","13928.396458041805","13928.396458041805"
"448","13828.154904417584","13828.154904417584","13828.154904417584"
"449","13886.09638004978","13886.09638004978","13886.09638004978"
"450","13839.636104486019","13839.636104486019","13839.636104486019"
"451","13841.100473082426","13841.100473082426","13841.100473082426"
"452","13921.66949802194","13921.66949802194","13921.66949802194"
"453","13945.54419748383","13945.54419748383","13945.54419748383"
"454","13895.0737495956","13895.0737495956","13895.0737495956"
"455","13942.661935756141","13942.661935756141","13942.661935756141"
"456","13855.381287189239","13855.381287189239","13855.381287189239"
"457","13878.924327241353","13878.924327241353","13878.924327241353"
